record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,ANT_resonant_frequency,13.6,13.85,MHz,13.724,9.109822,PASS,FAIL,230032,b7f40e50-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01F2,2023-06-02 17:31:20,2023-06-02 17:34:21,STQ236YM3101,monolith_receiver_ft,10023006
2,Q_Factor_Value,23,34,,29.9651,0.0,PASS,FAIL,230032,b7f40e50-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01F2,2023-06-02 17:31:20,2023-06-02 17:34:21,STQ236YM3101,monolith_receiver_ft,10023006
3,PN5190_Update,PASS,PASS,,PASS,8.553102,PASS,FAIL,230032,b7f40e50-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01F2,2023-06-02 17:31:20,2023-06-02 17:34:21,STQ236YM3101,monolith_receiver_ft,10023006
4,RED_Led_blink,PASS,PASS,,PASS,1.088365,PASS,FAIL,230032,b7f40e50-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01F2,2023-06-02 17:31:20,2023-06-02 17:34:21,STQ236YM3101,monolith_receiver_ft,10023006
5,Check_RED_Led_blink,PASS,PASS,,PASS,2.151339,PASS,FAIL,230032,b7f40e50-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01F2,2023-06-02 17:31:20,2023-06-02 17:34:21,STQ236YM3101,monolith_receiver_ft,10023006
6,Green_Led_blink,PASS,PASS,,PASS,1.092362,PASS,FAIL,230032,b7f40e50-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01F2,2023-06-02 17:31:20,2023-06-02 17:34:21,STQ236YM3101,monolith_receiver_ft,10023006
7,Check_Green_Led_blink,PASS,PASS,,PASS,0.842303,PASS,FAIL,230032,b7f40e50-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01F2,2023-06-02 17:31:20,2023-06-02 17:34:21,STQ236YM3101,monolith_receiver_ft,10023006
8,Blue_Led_blink,PASS,PASS,,PASS,1.09046,PASS,FAIL,230032,b7f40e50-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01F2,2023-06-02 17:31:20,2023-06-02 17:34:21,STQ236YM3101,monolith_receiver_ft,10023006
9,Check_Blue_Led_blink,PASS,PASS,,PASS,0.829154,PASS,FAIL,230032,b7f40e50-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01F2,2023-06-02 17:31:20,2023-06-02 17:34:21,STQ236YM3101,monolith_receiver_ft,10023006
10,Flip_Dots_Display_7,PASS,PASS,,PASS,1.092848,PASS,FAIL,230032,b7f40e50-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01F2,2023-06-02 17:31:20,2023-06-02 17:34:21,STQ236YM3101,monolith_receiver_ft,10023006
11,Check_Flip_Dots_Display_7,PASS,PASS,,PASS,3.507088,PASS,FAIL,230032,b7f40e50-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01F2,2023-06-02 17:31:20,2023-06-02 17:34:21,STQ236YM3101,monolith_receiver_ft,10023006
12,Flip_Dots_Display_0,PASS,PASS,,PASS,1.090363,PASS,FAIL,230032,b7f40e50-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01F2,2023-06-02 17:31:20,2023-06-02 17:34:21,STQ236YM3101,monolith_receiver_ft,10023006
13,Check_Flip_Dots_Display_0,PASS,PASS,,PASS,3.110579,PASS,FAIL,230032,b7f40e50-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01F2,2023-06-02 17:31:20,2023-06-02 17:34:21,STQ236YM3101,monolith_receiver_ft,10023006
14,Bike_Key_NFC_Test_Start,PASS,PASS,,FAIL,21.080184,FAIL,FAIL,230032,b7f40e50-0717-11ee-be4d-acde48001122,FK2322MRCM2AA01F2,2023-06-02 17:31:20,2023-06-02 17:34:21,STQ236YM3101,monolith_receiver_ft,10023006
